epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11405.5,0.38748,0.19807,0.00443,0.9763,0.97242,0.9934,0.89487,0.49386,0.21707,0.00784,0.000990365,0.000990365,0.000990365
43,11672.2,0.37592,0.20526,0.00425,0.98103,0.98775,0.99414,0.88693,0.54138,0.22662,0.00886,0.000973861,0.000973861,0.000973861
44,11935.6,0.36622,0.19692,0.00407,0.99483,0.97303,0.9941,0.88034,0.52608,0.18864,0.00858,0.000957358,0.000957358,0.000957358
45,12197.7,0.35513,0.18815,0.00395,0.9732,0.98122,0.99337,0.89307,0.50309,0.22582,0.00804,0.000940855,0.000940855,0.000940855
46,12459.1,0.35027,0.18908,0.00394,0.99851,0.9871,0.99354,0.88837,0.49834,0.20646,0.00793,0.000924352,0.000924352,0.000924352
47,12724.5,0.34966,0.1839,0.00385,0.98008,0.94798,0.9913,0.89226,0.49915,0.24211,0.00793,0.000907848,0.000907848,0.000907848
48,12985.6,0.33603,0.18192,0.00373,0.95226,0.98246,0.98961,0.88301,0.53271,0.25887,0.00866,0.000891345,0.000891345,0.000891345
49,13245.6,0.33424,0.17289,0.00385,0.96811,0.97885,0.9923,0.89711,0.49246,0.26747,0.00776,0.000874842,0.000874842,0.000874842
50,13507.3,0.3583,0.1831,0.00393,0.94942,0.98159,0.99058,0.89583,0.48841,0.26763,0.00781,0.000858338,0.000858338,0.000858338
51,13769.1,0.33576,0.1793,0.00375,0.98846,0.96038,0.99261,0.904,0.47359,0.24243,0.00754,0.000841835,0.000841835,0.000841835
52,14031.7,0.33032,0.18031,0.00361,0.97714,0.98812,0.99257,0.89249,0.48065,0.27911,0.00765,0.000825332,0.000825332,0.000825332
53,14296.2,0.31992,0.16996,0.00355,0.96384,0.972,0.99144,0.90672,0.46401,0.30994,0.0074,0.000808828,0.000808828,0.000808828
54,14559.7,0.31029,0.17121,0.00349,0.96053,0.9841,0.99243,0.89828,0.47528,0.28808,0.00761,0.000792325,0.000792325,0.000792325
55,14825.4,0.3165,0.17054,0.00353,0.98123,0.98671,0.99299,0.9043,0.46365,0.27102,0.00733,0.000775822,0.000775822,0.000775822
56,15094.8,0.30482,0.16529,0.0034,0.96794,0.97116,0.99196,0.89782,0.46132,0.25312,0.00736,0.000759318,0.000759318,0.000759318
57,15364,0.29946,0.16261,0.00319,1,0.97234,0.99322,0.89493,0.50493,0.23074,0.00802,0.000742815,0.000742815,0.000742815
58,15632.5,0.30966,0.16911,0.00326,0.9812,0.98837,0.99316,0.90465,0.47055,0.26346,0.00748,0.000726312,0.000726312,0.000726312
59,15902.4,0.29937,0.16397,0.00329,1,0.95913,0.99114,0.89736,0.47651,0.27171,0.00759,0.000709809,0.000709809,0.000709809
60,16170.1,0.29496,0.15959,0.00325,0.98081,0.96455,0.9917,0.90309,0.47945,0.28803,0.00763,0.000693305,0.000693305,0.000693305
61,16438.2,0.2924,0.15077,0.00331,0.93279,0.98524,0.99023,0.89144,0.49097,0.32269,0.00785,0.000676802,0.000676802,0.000676802
62,16706.7,0.30351,0.16217,0.00345,0.98545,0.95754,0.99337,0.89822,0.48747,0.23917,0.00773,0.000660299,0.000660299,0.000660299
63,16980.6,0.28826,0.15929,0.00324,0.94777,0.98123,0.99198,0.90482,0.48213,0.25157,0.00762,0.000643795,0.000643795,0.000643795
64,17249.8,0.2763,0.15077,0.00304,0.94359,0.98167,0.992,0.90458,0.46322,0.30839,0.0073,0.000627292,0.000627292,0.000627292
65,17517.7,0.28212,0.14771,0.00319,0.96945,0.97133,0.99383,0.89783,0.48967,0.27596,0.00779,0.000610789,0.000610789,0.000610789
66,17786.6,0.27952,0.14962,0.0031,1,0.98619,0.99478,0.89602,0.49595,0.24958,0.00803,0.000594286,0.000594286,0.000594286
